Art.-Nr.;Art.-Bez.;Ser.-Nr. (int);Lagermenge;Extras Anhänger;Lagerwert;Verkaufspreis;Länge;Breite;Höhe;hzGGew;Letzter Zugang
2615-3-13-1563-J;Rückwärtskipper 256x150x30 1500kg H=63cm HP;YCE26153802607402;1;Eduard-Stützfüße abmontiert für VIN 10992 Mister Bean;2276,83;2690;2560;1500;300;1500;23.04.2026
2615-3-13-1563-J;Rückwärtskipper 256x150x30 1500kg H=63cm HP;YCE26153302610997;1;Eduard-Stützfüße;2276,83;2690;2560;1500;300;1500;11.05.2026
2615-3-13-1563-J;Rückwärtskipper 256x150x30 1500kg H=63cm HP;YCE26153502610998;1;Eduard-Stützfüße;2276,83;2690;2560;1500;300;1500;11.05.2026
2615-4-13-2763-P;Rückwärtskipper 256x150x30 2700kg H=63cm EP+N;YCE26154302610989;1;Eduard-Stützfüße;3261,66;4300;2560;1500;300;2700;11.05.2026
5022-4-PO3-3563;Hochlader mit Rampen 506x220x30 3500kg H=63cm Rampen;YCE50224902608057;1;Winterhoff-Stützfüße;4629,66;5490;5060;2200;300;3500;11.05.2026
